rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta0,params,split0_test_score,split0_train_score
1,-0.24148135678268554,0.0,-0.9979178088605406,0.0,1.2747268676757812,0.0,0.00555109977722168,0.0,0.1,0.001,"{'model__alpha': 0.1, 'model__eta0': 0.001}",-0.24148135678268554,-0.9979178088605406
2,-0.2415140825878967,0.0,-0.997965715843481,0.0,4.136945962905884,0.0,0.009193897247314453,0.0,0.01,0.001,"{'model__alpha': 0.01, 'model__eta0': 0.001}",-0.2415140825878967,-0.997965715843481
3,-0.9718768629199753,0.0,-1.8570130061544015,0.0,1.668365240097046,0.0,0.005552768707275391,0.0,0.1,0.01,"{'model__alpha': 0.1, 'model__eta0': 0.01}",-0.9718768629199753,-1.8570130061544015
4,-1.1787961896830859,0.0,-2.101301623143699,0.0,4.485422134399414,0.0,0.009165048599243164,0.0,0.01,0.01,"{'model__alpha': 0.01, 'model__eta0': 0.01}",-1.1787961896830859,-2.101301623143699
