rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.7425613723750369,0.0,0.8349234307981441,0.0,0.11417102813720703,0.0,0.0066030025482177734,0.0,2,40,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 40}",0.7425613723750369,0.8349234307981441
2,0.7068914759801954,0.0,0.9868608414239483,0.0,0.11940979957580566,0.0,0.006560087203979492,0.0,2,2,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.7068914759801954,0.9868608414239483
3,0.6590702947845805,0.0,0.76101793909053,0.0,0.0840299129486084,0.0,0.007072925567626953,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.6590702947845805,0.76101793909053
3,0.6590702947845805,0.0,0.76101793909053,0.0,0.0845792293548584,0.0,0.006188631057739258,0.0,20,40,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 40}",0.6590702947845805,0.76101793909053
5,0.16161616161616163,0.0,0.15938303341902313,0.0,0.07857036590576172,0.0,0.006076812744140625,0.0,2,200,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 200}",0.16161616161616163,0.15938303341902313
5,0.16161616161616163,0.0,0.15938303341902313,0.0,0.07998394966125488,0.0,0.0060350894927978516,0.0,20,200,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 200}",0.16161616161616163,0.15938303341902313
5,0.16161616161616163,0.0,0.15938303341902313,0.0,0.07824087142944336,0.0,0.006064891815185547,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.16161616161616163,0.15938303341902313
5,0.16161616161616163,0.0,0.15938303341902313,0.0,0.07972908020019531,0.0,0.006104946136474609,0.0,100,40,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 40}",0.16161616161616163,0.15938303341902313
5,0.16161616161616163,0.0,0.15938303341902313,0.0,0.07699394226074219,0.0,0.0057828426361083984,0.0,100,200,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 200}",0.16161616161616163,0.15938303341902313
