rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.7318380182261585,0.0,0.8964322155922648,0.0,0.4664149284362793,0.0,0.005017995834350586,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.7318380182261585,0.8964322155922648
2,0.7064102564102565,0.0,1.0,0.0,0.5162522792816162,0.0,0.004908084869384766,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.7064102564102565,1.0
3,0.6908212560386474,0.0,0.953153974482973,0.0,1.1513681411743164,0.0,0.0044879913330078125,0.0,0.01,10,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 10}",0.6908212560386474,0.953153974482973
4,0.6803632406469285,0.0,1.0,0.0,0.8401620388031006,0.0,0.004913806915283203,0.0,0.1,10,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 10}",0.6803632406469285,1.0
5,0.6758041115764692,0.0,1.0,0.0,1.5985238552093506,0.0,0.005182027816772461,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.6758041115764692,1.0
6,0.6645299145299145,0.0,1.0,0.0,1.0561769008636475,0.0,0.0046291351318359375,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.6645299145299145,1.0
7,0.6361520684828955,0.0,1.0,0.0,0.18007493019104004,0.0,0.004570960998535156,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.6361520684828955,1.0
8,0.6353043222100389,0.0,0.8329369476158069,0.0,0.9896030426025391,0.0,0.003996849060058594,0.0,0.001,10,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 10}",0.6353043222100389,0.8329369476158069
9,0.6220822712050782,0.0,0.9768581228908243,0.0,1.559325933456421,0.0,0.00426030158996582,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.6220822712050782,0.9768581228908243
10,0.5713452162545796,0.0,0.7796647053973428,0.0,0.5151681900024414,0.0,0.004746913909912109,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.5713452162545796,0.7796647053973428
11,0.4055775142731665,0.0,0.45179809386312025,0.0,0.09963297843933105,0.0,0.0044400691986083984,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.4055775142731665,0.45179809386312025
12,0.30586994648305105,0.0,0.32520144051707894,0.0,0.03929495811462402,0.0,0.004394054412841797,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.30586994648305105,0.32520144051707894
13,0.2217931322408934,0.0,0.20990230810520663,0.0,0.10701298713684082,0.0,0.004161834716796875,0.0,1,10,"{'model__learning_rate': 1, 'model__min_samples_leaf': 10}",0.2217931322408934,0.20990230810520663
14,0.21127403062886932,0.0,0.21622346303179985,0.0,0.048468828201293945,0.0,0.004209995269775391,0.0,10,10,"{'model__learning_rate': 10, 'model__min_samples_leaf': 10}",0.21127403062886932,0.21622346303179985
15,0.14583333333333334,0.0,0.1852034996187142,0.0,0.051587820053100586,0.0,0.0047149658203125,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.14583333333333334,0.1852034996187142
