rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.7817460317460317,0.0,0.7626967453648126,0.0,0.020524024963378906,0.0,0.0006992816925048828,0.0,0.0009765625,0.015625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.015625}",0.7817460317460317,0.7626967453648126
1,0.7817460317460317,0.0,0.7626967453648126,0.0,0.02744317054748535,0.0,0.0009319782257080078,0.0,0.00390625,0.015625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.015625}",0.7817460317460317,0.7626967453648126
1,0.7817460317460317,0.0,0.7658324624703668,0.0,0.02731013298034668,0.0,0.0009369850158691406,0.0,0.015625,0.015625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.015625}",0.7817460317460317,0.7658324624703668
4,0.7112087335671902,0.0,0.7670764440487255,0.0,0.024098873138427734,0.0,0.0006799697875976562,0.0,0.0009765625,0.00390625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.00390625}",0.7112087335671902,0.7670764440487255
4,0.7112087335671902,0.0,0.7670764440487255,0.0,0.033100128173828125,0.0,0.0009570121765136719,0.0,0.00390625,0.00390625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.00390625}",0.7112087335671902,0.7670764440487255
4,0.7112087335671902,0.0,0.7670764440487255,0.0,0.03292536735534668,0.0,0.0009398460388183594,0.0,0.015625,0.00390625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.00390625}",0.7112087335671902,0.7670764440487255
7,0.699033855212097,0.0,0.7661193313683577,0.0,0.023318052291870117,0.0,0.0009469985961914062,0.0,0.0009765625,0.0625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.0625}",0.699033855212097,0.7661193313683577
7,0.699033855212097,0.0,0.7661193313683577,0.0,0.023894071578979492,0.0,0.0009250640869140625,0.0,0.00390625,0.0625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.0625}",0.699033855212097,0.7661193313683577
7,0.699033855212097,0.0,0.7661193313683577,0.0,0.023782968521118164,0.0,0.0009601116180419922,0.0,0.015625,0.0625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.0625}",0.699033855212097,0.7661193313683577
