rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.24531418384015574,0.0,0.3281607082141112,0.0,7.994279146194458,0.0,0.014724969863891602,0.0,0.0009765625,0.00390625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.00390625}",0.24531418384015574,0.3281607082141112
2,0.13420441120693982,0.0,0.10949721789502911,0.0,1.9872512817382812,0.0,0.012725591659545898,0.0,0.015625,0.015625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.015625}",0.13420441120693982,0.10949721789502911
3,0.13296963916690285,0.0,0.11401164379094478,0.0,1.8798489570617676,0.0,0.012729883193969727,0.0,0.0009765625,0.015625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.015625}",0.13296963916690285,0.11401164379094478
4,0.1317387720555868,0.0,0.10797222708965751,0.0,2.2599079608917236,0.0,0.012542963027954102,0.0,0.015625,0.00390625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.00390625}",0.1317387720555868,0.10797222708965751
5,0.1316803729312792,0.0,0.10789587357079126,0.0,1.9212608337402344,0.0,0.008701086044311523,0.0,0.015625,0.0625,"{'model__alpha': 0.015625, 'model__learning_rate_init': 0.0625}",0.1316803729312792,0.10789587357079126
6,0.13148699728972735,0.0,0.10882748316802568,0.0,1.9120841026306152,0.0,0.010596752166748047,0.0,0.00390625,0.00390625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.00390625}",0.13148699728972735,0.10882748316802568
7,0.13121872475817098,0.0,0.10698889524399716,0.0,1.8224990367889404,0.0,0.013132095336914062,0.0,0.00390625,0.015625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.015625}",0.13121872475817098,0.10698889524399716
8,0.1282234473447345,0.0,0.10741370376830398,0.0,1.3151452541351318,0.0,0.011127710342407227,0.0,0.0009765625,0.0625,"{'model__alpha': 0.0009765625, 'model__learning_rate_init': 0.0625}",0.1282234473447345,0.10741370376830398
9,0.12773411531431664,0.0,0.10507584037222968,0.0,1.8693878650665283,0.0,0.013059139251708984,0.0,0.00390625,0.0625,"{'model__alpha': 0.00390625, 'model__learning_rate_init': 0.0625}",0.12773411531431664,0.10507584037222968
